value	uses	family	L.fg	L.bg	L.ln	D.fg	D.bg	D.ln
#eef2ff	1	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
#edf1f4	1	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#ead9b0	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#ffe02c	#ffe02c
#fffdf7	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#bfd9f2	1	blue	#3c28bc	#3c28bc	#3c28bc	#ffffff	#8d33cc	#8d33cc
#fcfcfd	1	neutral	#ffffff	#ffffff	#ffffff	#ffffff	#2a2a2a	#ffffff
#fffdf5	1	amber	#0c0c0c	#ffe02c	#0c0c0c	#ffe02c	#0c0c0c	#777777
#047857	1	green	#0c0c0c	#00cc05	#0c0c0c	#00cc05	#00cc05	#00cc05
#eef0f2	1	neutral	#ffffff	#b8b8b8	#0c0c0c	#ffffff	#0c0c0c	#777777
#fafcfe	1	neutral	#555555	#ffffff	#0c0c0c	#777777	#2a2a2a	#777777
#f5f3ff	1	blue	#3c28bc	#ffffff	#0c0c0c	#ffffff	#0c0c0c	#777777
